"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","C","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm","~"
"C4,C5,C6,C7","4","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C8,C9","2","C","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C10,C14","2","100n","","","","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","~"
"C11","1","100n","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C12","1","100u","","","","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","~"
"C13","1","100u","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"D1,D2","2","LED","","","","LED_THT:LED_D3.0mm_Clear","~"
"D3","1","RF01VM2S","","","","Diode_THT:D_5W_P12.70mm_Horizontal","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/fast_recovery/rf01vm2s.pdf"
"DCFRx1","1","~","","","","mjc_library:DCF77Rx_A",""
"ESP1","1","~","","","","mjc_library:ESP32 Header",""
"HV1,HV2","2","~","","","","mjc_library:PLCC-44_THT-Socket",""
"J1","1","Hours","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"J2","1","Mins","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"J3","1","Secs","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"J4","1","Nixie YY2","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J5","1","Nixie DD1","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J6","1","Nixie MM2","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J7","1","Nixie MM1","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J8","1","Nixie DD2","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J9","1","Nixie YY1","","","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J10","1","Serial DBG","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J11","1","DCF DBG","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"J12","1","Supply","","","","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"J13","1","170V","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"L1","1","100","","","","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC","~"
"LVL1","1","~","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"MAX1","1","~","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/max1771.pdf"
"R1,R2,R3,R4,R5,R6,R7,R8","8","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R9,R10,R11","3","0.05","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U1","1","~","","","","mjc_library:STD17NF25","https://www.st.com/resource/en/datasheet/std17nf25.pdf"
